CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Pizzas grandes,Metade Portuguesa ,METADE *G* - PORTUGUESA,10128,33.45,"Calabresa, mussarela, azeitona, ovo, presunto, cebola e orégano."
Pizzas Grandes,Metade Quatro Mineiros ,METADE *G* - QUATRO MINEIROS,10129,38.45,"Mussarela, Catupiry Original, provolone, gorgonzola e orégano."
Pizzas grandes,Metade Brasileira ,METADE *G* - BRASILEIRA,10130,35.95,"Frango refogado, Catupiry Original, mussarela, azeitonas sem caroço, milho verde e orégano."
Pizzas grandes,Metade Belchior,METADE *G* - BELCHIORS,10131,39.95,"Rúcula, tomate seco, champignon fresco, mussarela, provolone e orégano."
Pizzas grandes,Metade Amici's ,METADE *G* - AMICIS,10133,39.95,"Pepperoni, linguiça italiana, mussarela, pimentão, champignon fresco, cebola e orégano."
Pizzas 20 cm,Pepperoni,PIZZA *P* - TRAD PEPPERONNI,10171,40.9,"Pepperoni, mussarela e orégano."
Pizzas 20 cm,Calábria ,PIZZA *P* - CALABRIA,10172,34.9,"Calabresa, cebola roxa, mussarela e orégano."
Pizzas 20 cm,Favorita,PIZZA *P* - FAVORITA,10173,40.9,"Pepperoni, cogumelos frescos, linguiça italiana, mussarela e orégano."
Pizzas grandes,Metade Fortaleza ,METADE *G* - FORTALEZA,10135,39.95,"Carne de sol, macaxeira, mussarela, Catupiry Original, orégano."
Pizzas Grandes,Metade Italiana,METADE *G* - ITALIANA,10136,31.45,"Rúcula, tomate seco e mussarela."
Pizzas grandes,Pepperoni ,PIZZA *G* - TRAD PEPPERONNI,10174,76.9,"Pepperoni, mussarela e orégano."
Pizzas grandes,Calábria ,PIZZA *G* - CALABRIA,10175,59.9,"Calabresa, cebola roxa, mussarela e orégano."
Pizzas grandes,Favorita ,PIZZA *G* - FAVORITA,10176,76.9,"Pepperoni, cogumelos frescos, linguiça italiana, mussarela e orégano."
Pizzas Grandes,Metade Pepperoni ,METADE *G* - TRAD PEPPERONNI,10177,38.45,"Pepperoni, mussarela e orégano."
Pizzas 20 cm,Vegetariana ,PIZZA *P* - VEGETARIANA,10224,36.9,"Mussarela, tomate fresco, pimentão, cebola, azeitonas, champignons frescos."
Pizzas Grandes,Metade Calábria ,METADE *G* - CALABRIA,10178,30.45,"Calabresa, cebola roxa, mussarela e orégano."
Pizzas grandes,Metade Favorita ,METADE *G* - FAVORITA,10179,38.45,"Pepperoni, cogumelos frescos, linguiça italiana, mussarela e orégano."
Pizzas grandes,Vegetariana ,PIZZA *G* - VEGETARIANA,10225,66.9,"Mussarela, tomate fresco, pimentão, cebola, azeitonas, champignons frescos."
Pizzas grandes,Metade Vegetariana ,METADE *G* - VEGETARIANA,10226,33.45,"Mussarela, tomate fresco, pimentão, cebola, azeitonas, champignons frescos."
Pizzas 20 cm,Aldeota ,PIZZA *P* - ALDEOTA,10524,36.9,"Linguiça italiana, pimenta calabresa, mussarela, queijo provolone, cebola roxa e alho."
Pizzas grandes,Aldeota ,PIZZA *G* - ALDEOTA,10522,66.9,"Linguiça italiana, pimenta calabresa, mussarela, queijo provolone, cebola roxa e alho."
