CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
COMBOS ZACK,Combo Smash Cheese Bacon,SMASH BOVINO - CHEESEBACON,750041,20.9,Smash burger (2 carnes de 50g + blend de queijos + bacon em tiras + 1 molho) + batata frita 120g + refrigerante 350ml.
BOX GALERINHA ZACK,Smash Kids Cheese burger,ZACKINHO BOV CHEESEBURGER,750290,13.9,1 carne de 50g + queijo cheddar + mollho.
BOX GALERINHA ZACK,Kids Crispy Chicken Cheese,ZACKINHO CHEESE CRSPY CHCKEN,750291,13.9,"Frango empanado, queijo cheddar + molho."
SMASH BURGERS,Combo Smash Cheeseburger,SMASH TOSCANO - CHEESEBURGER,750320,15.9,Smash burger (2 carnes de 50g + blend de queijos + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheeseburger,SMASH BOVINO - CHEESEBURGER,750321,17.9,Smash burger (2 carnes de 50g + blend de queijos + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheese Salad,SMASH TOSCANO - CHEESESALAD,750330,16.9,Smash burger (2 carnes de 50g + blend de queijos + alface + tomate + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheese Salad,SMASH BOVINO - CHEESESALAD,750331,18.9,Smash burger (2 carnes de 50g + blend de queijos + alface + tomate + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheese Onion,SMASH TOSCANO - CHESSE ONION,750340,17.9,Smash burger (2 carnes de 50g + blend de queijos + cebola caramelizada + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheese Onion,SMASH BOVINO - CHEESE ONION,750341,19.9,Smash burger (2 carnes de 50g + blend de queijos + cebola caramelizada + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheese Bacon,SMASH TOSCANO - CHEESEBACON,750350,18.9,Smash burger (2 carnes de 50g + blend de queijos + bacon em tiras + 1 molho) + batata frita 120g + refrigerante 350ml.
SMASH BURGERS,Combo Smash Cheese Bacon,SMASH BOVINO - CHEESEBACON,750351,20.9,Smash burger (2 carnes de 50g + blend de queijos + bacon em tiras + 1 molho) + batata frita 120g + refrigerante 350ml.
