CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Escolha sua proteína,Carne do sol,CARNE SOL 70G,20111,7.9,Carne do sol desfiada.
Escolha sua proteína,Camarão,CAMARAO GRELHADO 70G,20112,12.9,Camarão grelhado.
Escolha sua proteína,Caponata de berinjela e abobrinha,CAPONAT BERINJELA 80G,20113,0,"Berinjela, abobrinha, cebola, uva passas e azeitonas."
Escolha os ingredientes,Tomate em cubos,TOMATE EM CUBOS 25G,20114,0,Tomate em cubos.
Escolha os ingredientes,Milho verde,MILHO VERDE 20G,20115,0,Milho verde.
Escolha os ingredientes,Cenoura ralada,CENOURA RALADA 25G,20116,0,Cenoura ralada.
Escolha os ingredientes,Tomate seco,TOMATE SECO 25G,20117,1.9,Tomate seco.
Escolha os ingredientes,Grão-de-bico,GRÃO DE BICO 50G,20118,0,Grão de bico temperado com especiarias e suco de limão.
Escolha os ingredientes,Ovo de codorna,OVO CODORNA-3 UNID,20119,2.9,Ovos de codorna.
Escolha os ingredientes,Mix de grãos tostados,GRAOS TOSTADOS 10G,20120,0,"Aveia, linhaça, gergelim branco e gergelim preto."
Escolha os ingredientes,Castanhas granuladas,CASTANHA TRITURAD 15G,20121,0,Castanha de caju granulada.
Escolha seu queijo,Queijo ricota,RICOTA RALADA 25G,20122,0,Queijo ricota ralado. 
Escolha seu queijo,Queijo minas,QUEIJO MINAS RLD 25G,20123,0,Queijo minas ralado.
Escolha seu queijo,Queijo coalho,COALHO RALADO 25G,20124,0,Queijo coalho ralado.
Escolha seu queijo,Queijo parmesão,PARMESAO SOODELI 15G,20125,4.9,Queijo parmesão premium ralado.
Escolha seu queijo,Queijo gorgonzola,QUEIJO GORGONZOLA 20G,20126,3.9,Queijo gorgonzola em pedaços.
Saladas,Salada Frango e Bacon,SALADA FRANGO E BACON,20127,44.9,"Alface americana, frango desfiado, bacon grelhado, tomate em cubos e cebola crispy. "
Wraps,Wrap de Camarão,WRAP CAMARAO,20128,42.9,"Camarão grelhado, creme de ricota, couve crispy, com geleia de pimenta artesanal e alface americana e cenoura, tudo enroladinho no pão folha."
Pratos Leves,Prato Leve de Frango e Queijo Minas,LEV-QJO MINAS E FGO DESFI,20129,42.9,"Frango desfiado refogado, arroz integral com brócolis, mix de alfaces, legumes no vapor, queijo minas e couve crispy."
Saladas,Chicken Sweet Salad,SALADA FRANGO NORDEST,20130,29.9,"Mix de alfaces (alface americana e alface roxa), frango desfiado, tomate em cubo, cenoura ralada, milho e molho mostarda e mel. "
Escolha sua proteína,Salmão em lascas,SALMAO LASCAS 60G,20132,12.9,Salmão em lascas.
Soodeli do meu jeito!,Wrap do meu jeito,WRAP DO MEU JEITO----,20277,35.9,A Soodeli traz para você a opção de montar seu próprio wrap! Do seu jeito!
Alface ou Coleslaw?,Alface americana,ACP-30G ALFACE AMERI,20278,0,Alface americana.
Item principal,Frango desfiado,ACP-60G FGO DESFIADO,20279,0,Frango desfiado refogado com cebola e salsinha.
Item principal,Peito de Peru ralado,ACP-60G PEITO PERU ,20280,5.9,Peito de peru ralado.
Item principal,Salmão em lascas,ACP-60G SALMAO LASCAS,20281,12.9,Salmão em lascas.
Item principal,Carne de sol desfiada,ACP-60G CARNE SOL,20282,6.9,Carne de sol desfiada.
Item principal,Hamburguer de lentilha,ACP-2 UN HAMB LENTILH,20283,0,Hambúrguer de lentilha assado.
Item principal,Camarão,ACP-70G CAMARAO,20284,15.9,Camarão temperados com azeite de ervas.
Item principal,Falafel,ACP-5UN FALAFEL,20285,0,Falafel de grão de bico.
Adicione dois ingredientes,Caponata de berinjela e abobrinha,ACP-40G CAPONATA,20286,0,"Berinjela, abobrinha, cebola, uva passas e azeitonas."
Adicione dois ingredientes,Tomate em cubos,ACP-20G TOMATE CUBOS,20287,0,Tomate em cubos.
Adicione dois ingredientes,Tomate seco,ACP-30G TOMATE SECO,20288,0,Tomate seco.
Adicione dois ingredientes,Cenoura ralada,ACP-20G CENOURA,20289,0,Cenoura ralada.
Adicione dois ingredientes,Milho verde,ACP-20G MILHO VERDE,20290,0,Milho verde.
Adicione dois ingredientes,Ovo de codorna,ACP-3UN OVO CODORNA,20291,0,Ovos de codorna.
Adicione dois ingredientes,Mix de grãos assados,ACP-10G MIX DE GRAOS,20292,0,"Aveia, linhaça, gergelim branco e gergelim preto."
Adicione dois ingredientes,Farofa de croutons,ACP-10G FAROFA CROUTN,20293,0,Farofa de croutons assados.
Adicione dois ingredientes,Castanhas granuladas,ACP-10G CASTANHA TRIT,20294,0,Castanhas granuladas.
Escolha uma opção de queijo,Ricota ralada,ACP-30G Q RICOTA RLD,20295,0,Queijo ricota ralado.
Escolha uma opção de queijo,Queijo Minas ralado,ACP-30G Q MINAS RLD,20296,0,Queijo minas ralado.
Escolha uma opção de queijo,Queijo coalho ralado,ACP-30G Q COALHO RLD,20297,0,Queijo coalho ralado.
Escolha uma opção de queijo,Queijo gorgonzola,ACP-20G Q GORGONZOLA,20298,2.9,Queijo gorgonzola em pedaços.
Escolha uma opção de queijo,Creme de ricota,ACP-30G CREME RICOTA,20299,0,Creme de ricota.
Escolha uma opção de queijo,Queijo parmesão ralado,ACP-15G PARMESAO SODE,20300,5.9,Queijo parmesão premium ralado.
Escolha um molho,Molho caesar,ACP-30G MLH CAESAR,20301,0,Molho clássico a base de queijo parmesão.
Escolha um molho,Molho sweet and sour,ACP-20G MLH SWEET SOU,20303,0,Molho agridoce.
Escolha um molho,Molho sour cream,ACP-30G MLH SOUR CREM,20304,0,Molho a base de creme de leite e sumo de limão.
Escolha um molho,Molho ranch,ACP-30G MLH RANCH,20305,0,"Clássico molho americano a base de maionese, creme de leite e ervas."
Escolha um molho,Molho mostarda e mel,ACP-30G MOSTARDA MEL,20306,0,Clássico molho a base de mel e mostarda amarela. 
Escolha um molho,Molho balsâmico,ACP-30G MLH BALSAMICO,20307,0,Molho agridoce a base de redução de vinagre balsâmico. 
Escolha um molho,Molho salsa ervas,ACP-20G MLH SALSA VER,20308,0,Molho a base de azeite e ervas frescas. 
Pratos Leves,Prato Leve de Camarão,LEV-PRATO CAMARÃO,20309,55.9,"Camarão grelhado, fusilli com manteiga de ervas, rúcula, cebola crispy e queijo parmesão."
Pratos Leves,Prato Leve de Carne de Sol,LEV-PRATO CARNE SOL ,20310,45.9,"Carne de sol refogada com cebola roxa, arroz integral com brócolis, rúcula, creme de ricota temperada, ovo de codorna e granola salgada."
Pratos Leves,Prato Leve de Falafel,LEV-PRATO FALAFEL,20311,38.9,"Falafel assados, arroz integral, caponata de berinjela, cenoura ralada, picles de cebola roxa e creme de ricota."
Pratos Leves,Prato Leve de Frango Desfiado,LEV-PRATO FGO DESFIAD,20312,39.9,"Frango desfiado refogado, arroz integral com brócolis, tomate em cubos, cenoura ralada, creme de ricota temperada e couve crispy."
Pratos Leves,Prato Leve de Frango Grelhado,LEV-PRATO FGO GRELHAD,20313,41.9,"Frango grelhado com toque de manteiga de ervas frescas, arroz integral, rúcula, milho verde, salada coleslaw e  cenoura ralada."
Soodeli do meu jeito!,Prato Leve do Meu Jeito,LEV-PRATO MEU JEITO--,20319,47.9,A Soodeli traz pra você a opção de montar a sua refeição leve do seu jeito! O peso final pode variar de acordo com as opções de montagem.
Escolha sua base favorita,Arroz Integral,ACP 150G-ARRZ INT BASE,20320,0,Arroz integral.
Escolha sua base favorita,Arroz integral com brócolis,ACP 150G-ARROZ INT BROC,20321,0,Arroz integral com brócolis.
Escolha sua base favorita,Arroz integral multigrãos,ACP 150G-ARROZ MULTIG,20322,0,"Arroz Integral Multigrãos (aveia, linhaça marrom e mix de gergelim)."
Escolha sua base favorita,Batata doce assada,ACP 150G-BATATA DOCE,20323,2.9,Batata doce assada
Escolha sua base favorita,Fusilli integral,ACP 150G-BASE FUSILI ,20324,0,Fusilli integral.
Escolha sua base favorita,Fusilli integral na manteiga de ervas,ACP 150G-FUSILI MANT,20325,0,Fusilli integral na manteiga de ervas frescas.
Escolha sua base favorita,Cuscuz,ACP 150G-BASE CUSCUZ ,20326,0,Cuscuz de milho com manteiga.
Selecione os complementos,Sem ingrediente,ACP - SEM INGREDIENTE,20327,0,Não quero mais ingredientes!
Selecione os complementos,Rúcula,ACP 15G-RUCULA,20328,0,Folha de rúcula.
Selecione os complementos,Couve Crispy,ACP 10G-COUVE CRISPY,20329,0,Couve crispy frita.
Selecione os complementos,Mix de Alfaces,ACP 20G-MIX ALFACES,20330,0,Mix de alface americana e alface roxa.
Selecione os complementos,Salada Coleslaw,ACP 50G-SLD COLESLAW,20331,0,"Salada de repolho branco com cenoura ralada, molho ranch e cebolinha."
Selecione os complementos,Salada de grão de bico,ACP 50G-SLD GRAO BICO,20332,0,"Salada de grão de bico com cebola roxa, salsinha e limão."
Selecione os complementos,Mix de legumes,ACP 50G-SELETA LEGUM,20333,0,"Cenoura, brócolis, couve-flor, ervilha e vagem."
Selecione os complementos,Caponata de berinjela e abobrinha,ACP 50G-CAPONATA,20334,0,"Berinjela, abobrinha, cebola, uvas passas e azeitonas."
Selecione os complementos,Brócolis refogado,ACP 30G-BASE BROCOLIS,20335,0,Brócolis picadinho e temperado.
Selecione os complementos,Ovo de codorna,ACP 4UN-OVO CODRNA,20336,1.9,04 unidades de ovo de codorna partidos ao meio.
Selecione os complementos,Milho verde,ACP 30G-MILHO VERDE,20337,0,Milho Verde.
Selecione os complementos,Tomate em cubos,ACP 30G-TOMATE CUBOS,20338,0,Tomate cortado em cubinhos.
Selecione os complementos,Cenoura,ACP 30G-CENOURA RALAD,20339,0,Cenoura ralada.
Selecione os complementos,Tomate seco,ACP 25G-TOMATE SECO,20340,0,Tomate seco picado.
Selecione os complementos,Picles de cebola roxa,ACP 20G-PICLES CEBOLA,20341,0,Picles de cebola roxa.
Selecione os complementos,Chips de batata doce,ACP 25G-CHIPS BATATA,20342,1.9,Chips de batata doce artesanal. 
Selecione os complementos,Cebola crispy,ACP 20G-CEBOLA CRISPY,20343,0,Tiras fininhas de cebola empanadas e fritas.
Selecione os complementos,Queijo parmesão ralado,ACP 20G-PARMESAO SODE,20344,1.9,Queijo parmesão ralado.
Selecione os complementos,Queijo minas ralado,ACP 30G-MINAS RALADO,20345,0,Queijo minas ralado.
Selecione os complementos,Cubinhos de queijo coalho grelhado,ACP 30G-COALHO CUBOS,20346,0,Queijo coalho grelhado em cubinhos.
Selecione os complementos,Creme de ricota,ACP 40G-CREME RICOTA,20347,0,Creme de ricota.
Selecione os complementos,Croutons,ACP 20G-CROUTONS,20348,0,Torradinhas em cubos saborizadas com azeite e ervas.
Selecione os complementos,Granola salgada,ACP 25G-GRANOLA,20349,0,Granola artesanal.
Selecione a proteína,Falafel,ACP 5UN-FALAFEL DISCO,20350,0,Bolinhos de grão-de-bico temperados com especiarias. É assado!
Selecione a proteína,Burger de Lentilha,ACP 2UN-BURG LENTILHA,20351,0,Burger de lentinha assado.
Selecione a proteína,Frango grelhado,ACP 120G-FGO INT MANT,20352,0,Frango grelhado com toque de manteiga de ervas.
Selecione a proteína,Frango desfiado,ACP 70G - FGO DESF,20353,0,Frango desfiado refogado com cebola e salsinha.
Selecione a proteína,Carne de sol desfiada,ACP 70G - CARNE SOL,20354,0,Carne de sol desfiada refogada com cebola roxa.
Selecione a proteína,Camarão,ACP 1UN-CAMARAO,20355,12.9,Camarão com ervas.
Selecione a proteína,Peixe grelhado,ACP 1UN-TILAPIA MANTG,20356,17.9,Tilápia Grelhada com toque de manteiga de ervas.
Selecione a proteína,Salmão,ACP 1UN-SALMAO GREL,20357,25.9,Filé de Salmão grelhado.
Escolha sua finalização,Sem Finalização,FLZ-SEM FINALIZAÇÃO,20358,0,"Sem finalização, por favor!"
Escolha sua finalização,Salsinha,FLZ 2G-SALSINHA,20359,0,Salsinha picada.
Escolha sua finalização,Castanha granulada,FLZ 5G-CASTANHA,20360,0,Castanha de caju granulada.
Escolha sua finalização,Mix De Grãos Tostados,FLZ 5G-MIX GRÃOS ,20361,0,"Aveia, linhaça, gergelim branco e gergelim preto."
Escolha sua finalização,Cebolinha,FLZ 2G-CEBOLINHA,20362,0,Cebolinha picada.
Selecione o molho (a parte),Sem Molho,EXT 30G-SEM MOLHO,20363,0,"Sem molho, por favor!"
Selecione o molho (a parte),Molho Mostarda e Mel,EXT 30G-MLH MOST MEL,20364,0,Clássico molho a base de mel e mostarda amarela.
Selecione o molho (a parte),Molho Caesar,EXT 30G-MLH CAESAR,20365,0,Molho clássico a base de queijo parmesão.
Selecione o molho (a parte),Molho Salsa de Ervas,EXT 30G-MLH SALSA,20366,0,Molho a base de azeite e ervas frescas. 
Selecione o molho (a parte),Molho Sour Cream,EXT 30G-MLH SOUR CREA,20367,0,Molho cremoso a base de limão.
Selecione o molho (a parte),Molho Teriyaki,EXT 30G-MLH TERYIAKI,20368,0,Molho agridoce a base de shoyu e gengibre.
Selecione o molho (a parte),Molho Sweet and Sour,EXT 30G-MLH SWEET SOU,20369,0,Molho agridoce levemente apimentado.
Selecione o molho (a parte),Molho Balsâmico,EXT 30G-MLH BALSAMICO,20370,0,Molho agridoce a base de vinagre balsâmico.
Adicione ingredientes extras,Rúcula,**ADC 15G-RUCULA,20371,1.9,Rúcula.
Adicione ingredientes extras,Couve Crispy,**ADC 10G-COUVE CRISP,20372,1.9,Couve crispy frita.
Adicione ingredientes extras,Brócolis refogado,**ADC 30G-BASE BROCOL,20373,1.9,Brócolis picadinho e temperado.
Adicione ingredientes extras,Ovo Codorna,**ADC 4UN-OVO COD MEI,20374,3.9,04 unidades de ovo de codorna partidos ao meio.
Adicione ingredientes extras,Milho verde,**ADC 30G-MILHO VERDE,20375,1.9,Milho verde.
