CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
POKE BAIAO,Arretado,POKE BAIAO-ARRETADO,70044,35.9,"Baiãozinho tradicional cremoso que só a gente conhece, carne do sol desfiada e refogada com cebola roxa, cebola crispy e bacon pra zé ninguém botar defeito. O mais mais que vai estremecer as estribeiras da suas papilas gustativas. "
POKE NORDESTINO - ETAPA 4,"Não, obrigado!",**FLZ-SEM FINALIZAÇÃO,70054,0,
POKE NORDESTINO - ETAPA 1,Arroz de leite,ACP-250G ARROZ CREMOS,70055,0,Arroz branco super cremoso.
POKE NORDESTINO - ETAPA 3,Batata palha,ACP-20G BATATA PALHA,70056,0,Batata palha.
POKE BAIAO,Arrasta Pé,POKE BAIAO-ARRASTA PE,70045,35.9,"Baião cremoso, carne moída, ovo e aquele bacon crocante que faz crec! Gostoso feito dançar agarradinho. Bora dançar mais eu?
"
POKE BAIAO,Pitéu,POKE BAIAO-PITEU,70046,32.9,"Baião cremoso, frango desfiado, cebola caramelizada e um queijin minas pra fechar. É só o pitéu, meu fi."
POKE BAIAO,Coladin,POKE BAIAO-COLADIN,70067,31.9,"Vatapá de frango, baião cremoso, batata palha crocante e queijo coalho grelhado. Cada garfada é um passo de forró na boca. É o sabor do Nordeste em um prato, uma experiência irresistível e autêntica."
POKE BAIAO,Matuto,POKE BAIAO-MATUTO,70071,35.9,"Poke de baião cremoso, carne de sol, macaxeira frita, farofinha e ovo! Criado especialmente para o melhor mês no ano. Esse poke vai encher teu bucho e te deixar preparado pra aproveitar os arraiá! "
POKE NORDESTINO - ETAPA 2,Creme de frango,ACP-100G CREME FGO,70062,0,Creme de frango desfiado. 
POKE NORDESTINO - ETAPA 2,Vatapá de frango,ACP-100G VATAPA,70063,0,Vatapá de frango.
POKE BAIAO,Bacurim,POKE BAIAO-BACURIM,70077,34.9,"Baião de dois cremoso, Lombo Suíno desfiado dos bem gostosos e refogado com cebola branca, macaxeira frita e paçoca de torresmo que enche o bucho de alegria.  Chamado de Bacurim, esse prato é uma festa de sabores! "
POKE BAIAO,Pai D'egua,POKE BAIAO-PAIDEGUA,70086,37.9,"Baião cremoso com tiras de carne de sol, couve crispy e farofa. Era só um desses pra tu ser feliz!"
POKE NORDESTINO - ETAPA 2,Fricassê de frango,ACP-100G FRICASSE,70069,0,Fricassê de frango.
POKE NORDESTINO - EXTRAS,Requeijão Cremoso,**ADC-40G REQ CREMOSO,70070,2.9,Requeijão cremoso.
POKE CUSCUZ,Belezura,POKE CUSCUZ-BELEZURA,70048,25.9,"Cuscuz soltinho, ovo frito, queijo coalho grelhado e tomate pra terminar a obra prima. Rapaz, pense num negócio bonito é esse poke. É tanta belezura que limpou foi minha vista."
POKE NORDESTINO - ETAPA 1,Arroz Branco,ACP-150G ARROZ BRANCO,70073,0,Arroz branco bem soltinho. 
POKE NORDESTINO - ETAPA 3,Macaxeira Frita,ACP-30G MACAXEIRA ,70074,0,Macaxeira Frita cortada em cubinhos.
POKE NORDESTINO - EXTRAS,Macaxeira Frita,**ADC-30G MACAXEIRA ,70076,2.9,Macaxeira Frita cortada em cubinhos.
POKE CUSCUZ,Da Merenda,POKE CUSCUZ-DA MEREND,70049,28.9,"Cuscuz, ovo frito, presunto e requeijão cremoso. Aquela merendinha que sustenta. E é bom viu?"
POKE CUSCUZ,Amostradinho,POKE CUSCUZ-AMOSTRADINHO,70050,36.9,"Cuscuz, carne de sol desfiada com cebola roxa, requeijão cremoso e bacon. Esse aqui é estrela onde chega! Cuida!"
POKE CUSCUZ,Danado de Bom,POKE CUSCUZ-DANADO DE BOM,70051,32.9,"Cuscuz soltinho, carne de sol desfiada, feijão cremoso e cebola crispy. Tá é danado de bom,
Tá danado de bom, meu cumpade 🎵 essa mistura o rei teria cantado!
"
POKE NORDESTINO - ETAPA 1,Baião de dois soltinho,ACP-150G BAIAO SOLTNH,70080,0,Baião de dois soltinho com feijão de corda.
POKE NORDESTINO - ETAPA 3,Couve crispy,ACP-5G COUVE CRISPY,70081,0,Couve crispy.
POKE NORDESTINO - ETAPA 3,Torresmo frito,ACP-30G TORRESMO FRIT,70082,2.99,Torresmo crocantíssimo! 
POKE NORDESTINO - ETAPA 3,Farofa de Torresmo,ACP-30G PCOCA TORES C/2UN,70083,0,Farofa de Torresmo especial da Chef Van.
POKE NORDESTINO - ETAPA 2,Lombo Suíno desfiado,ACP-70G SUINO DESFIAD,70084,1.9,Lombo súino desfiado refogado com cebola branca
POKE CUSCUZ,Chamego,POKE CUSCUZ-CHAMEGO,70052,28.9,"Cuscuz, frango desfiado refogado com cebola roxa, cubos de queijo coalho grelhado, refogado de tomate, pimentão e cebola branca. É chamego puro no pote."
POKE CUSCUZ,Gostosin,POKE CUSCUZ-GOSTOSIN,70053,29.9,"Cuscuz, carne moída, ovo frito e milho. É gostosinnn demais!"
POKE NORDESTINO -GUARNIÇÃO,Cuscuz,POKE-250G CUSCUZ,70087,15.9,Cuscuz de milho fofinho e quentinho. Você sente o sabor do milho a todo momento.
POKE NORDESTINO -GUARNIÇÃO,Baião Cremoso,POKE-400G BAIAO CREM,70088,19.9,Aquele baião que já é tradição cearense.
POKE NORDESTINO -GUARNIÇÃO,Arroz de leite,POKE-400G ARROZ CREM,70089,19.9,Arroz de leite super cremoso.
POKE NORDESTINO -GUARNIÇÃO,Arroz Branco,POKE-300G ARROZ BCO,70090,15.9,Arroz Branco soltinho e temperado.
POKE NORDESTINO -GUARNIÇÃO,Creme de Frango,POKE-400G CRME DE FGO,70091,34.9,"Creme de Frango, aquele, a cara das festas especiais das nossas famílias."
POKE NORDESTINO -GUARNIÇÃO,Vatapá de frango,POKE-400G VATAPA,70092,30.9,"Vatapá de Frango, é muito tradição nordestina."
POKE NORDESTINO -GUARNIÇÃO,Carne Moída,POKE-300G CARNE MOIDA,70093,38.9,"Carne moída, molhadinha, com aquele sabor de comida de vó."
POKE NORDESTINO -GUARNIÇÃO,Carne de sol desfiada,POKE-250G DE SOL DSF ,70094,46.9,Carne de sol desfiada e refogada com cebola roxa.
POKE NORDESTINO -GUARNIÇÃO,Frango desfiado,POKE-250G FGO DESFI,70095,38.9,"Frango desfiado, refogado com cebola e super temperadinho."
POKE NORDESTINO -GUARNIÇÃO,Farofa de Torresmo,POKE-250G FARF TORES C/5U,70096,25.9,Farofa de Torresmo especial da Chef Van.
POKE NORDESTINO -GUARNIÇÃO,Farofa Crispy,POKE-200G FAROF CRSPY,70097,17.9,Farofa crispy com cebola bem torradinha. Tipo uma farofinha da vovó.
POKE NORDESTINO -GUARNIÇÃO,Baião Soltinho,POKE-300G BAIAO SOLT,70098,19.9,Baião de dois com feijão de corda. É de nos fazer voltar no tempo.
POKE NORDESTINO -GUARNIÇÃO,Lombo Suíno desfiado,POKE-300G SUINO DESF,70099,43.9,Lombo suíno assado em fogo lento até desfiar facinho. Refogado com cebola branca. Cheio de sabor.
POKE NORDESTINO - ETAPA 2,Tiras de Carne de Sol,ACP-70G TIRAS C.SOL,70100,5.9,Tiras de Carne de Sol refogado com cebola branca.
POKE NORDESTINO - ETAPA 3,Paçoca de Carne de Sol,ACP-40G PACOCA DE SOL,70101,0,Paçoca crocante com a deliciosa Carne de Sol da Chef Van.
POKE NORDESTINO - ETAPA 3,Palha de batata doce,ACP-20G PALHA DOCE,70102,0,"Palha de batata doce bem crocante, receita especial da Chef Van. "
POKE NORDESTINO - EXTRAS,Palha de batata doce,**ADC-20G PALHA DOCE,70107,1.9,"Palha de batata doce bem crocante, receita especial da Chef Van. "
POKE NORDESTINO - EXTRAS,Torresmo frito,**ADC-30G TORRESMO FR,70185,6.9,Torresmo crocantíssimo! 
SÃO JOÃO ETAPA 2,Metadinha Creme de Frango e Calabresa acebolada.,ACP-150GCREME-30GCALAB,70200, R$ -   ,Creme de frango desfiado e calabresa acebolada.
SÃO JOÃO ETAPA 2,Metadinha Vatapá de Frango e Calabresa acebolada.,ACP-150GVAT-30GCALAB,70201, R$ -   ,Vatapá de frango desfiado e calabresa acebolada.
POKE CUSCUZ,Lá na Roça ,POKE CUSCUZ-LA NA ROÇ,70078,29.9,"Cuscuz quentinho, suíno desfiado suculento refogado com cebola branca, torresmo crocante e um feijão cremoso de dar água na boca. Lá na roça tem fartura, meu cumpade! "
