CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
BUONI - SLICES SUPREMAS,Avisa que é Ela,SLICE - AVISA QUE E ELA,55086,23.9,"Super Fatia de Pizza de Calabresa Cheddar Cream. Calabresa, cheddarcream e mussarela. Avisa que é ela, bb."
BUONI - 2 SABORES GRANDES,Metade Ícone (Grande),PIZZA *G* 2 SB - ICONE,55107,29.95,"Mussarela, a mais icônica, um clássico que ninguém tomba."
BUONI - 2 SABORES GRANDES,Metade Braba (Grande),PIZZA *G* 2 SB - BRABA,55109,29.95,"Calabresas fininhas, cebola roxa e mussarela. Esse sabor é brabo demais! "
BUONI - 2 SABORES GRANDES,Metade Aclamada (Grande),PIZZA *G* 2 SB - ACLAMADA,55112,29.95,"Brócolis, alho e mussarela. Esse sabor veio para ser aclamado em toda Fortaleza."
BUONI - 2 SABORES GRANDES,Metade Crush (Grande),PIZZA *G* 2 SB - CRUSH,55114,29.95,"Marguerita, a crush perfeita de todo mundo."
BUONI - 2 SABORES GRANDES,Metade 10/10 (Grande),PIZZA *G* 2 SB - 10/10,55108,32.95,Bacon & milho & mussarela = 10/10. 
BUONI - 2 SABORES GRANDES,Metade Portuga (Grande),PIZZA *G* 2 SB - PORTUGA,55115,32.95,"Portuguesa com ovos, azeitonas, cebola roxa, presunto e mussarela. "
BUONI - 2 SABORES GRANDES,Metade Gratiluz (Grande),PIZZA *G* 2 SB - GRATILUZ,55116,32.95,"Brócolis, tomate seco, milho e mussarela. Esse sabor good vibes vai fazer você sentir muita gratidão depois de provar."
BUONI - 2 SABORES GRANDES,Metade Lenda (Grande),PIZZA *G* 2 SB - LENDA,55111,33.95,"Frango refogado, cream cheese, milho e mussarela. Uma combinação definitivamente lendária."
BUONI - 2 SABORES GRANDES,Metade Cremosa (Grande),PIZZA *G* 2 SB - CREMOSA,55119,33.95,"Gorgonzola, cebola caramelizada, alho e mussarela. Pra essa você vai dizer: trabalhar para conquistar minha cremosa."
BUONI - 2 SABORES GRANDES,Metade Avisa Que É Ela (Grande),PIZZA *G* 2 SB - AVISA QUE E ELA,55124,33.95,"Calabresa, cheddarcream e mussarela. Avisa que é ela, bb."
BUONI - 2 SABORES GRANDES,Metade Resenha (Grande),PIZZA *G* 2 SB - RESENHA,55113,35.95,"Cream cheese, mussarela e gorgonzola, se unem para uma resenha daquelas."
BUONI - 2 SABORES GRANDES,Metade Buoni Melt (Grande),PIZZA *G* 2 SB - BUONI MELT,55117,35.95,"Cheddar, bacon, cebola caramelizada e mussarela. Essa não vem com brinde do palhaço, mas você vai amar tudo isso."
BUONI - 2 SABORES GRANDES,Metade Bem Patrícia (Grande),PIZZA *G* 2 SB - BEM PATRICIA,55118,35.95,"Lombo, cream cheese, geleia de pimenta artesanal e mussarela. Lá vem ela, toda produzida, bem patrícia."
BUONI - 2 SABORES GRANDES,Metade Gera (Grande),PIZZA *G* 2 SB - GERA,55122,35.95,"Frango refogado, bacon, molho barbecue e mussarela fazem uma pizza perfeita para antes, durante e depois do gera."
BUONI - 2 SABORES GRANDES,Metade Entrega Tudo (Grande),PIZZA *G* 2 SB - ENTREGA TUDO,55123,35.95,"Pepperoni, cebola roxa, pimentão, milho, champignon e mussarela. Palmas que essa entrega tudo!"
BUONI - 2 SABORES GRANDES,Metade Esquenta (Grande),PIZZA *G* 2 SB - ESQUENTA,55110,38.95,Pepperoni com creamcheese para esquentar seu rolê.
BUONI - 2 SABORES GRANDES,Metade Rocheda (Grande),PIZZA *G* 2 SB - ROCHEDA,55120,38.95,"Carne de sol, cebola roxa, cream cheese e mussarela só podiam dar em um sabor rocheda."
BUONI - 2 SABORES GRANDES,Metade Larica (Grande),PIZZA *G* 2 SB - LARICA,55121,38.95,"Calabresa, cream cheese, geleia de pimenta artesanal e Doritos. Tem o salgado de calabresa e mussarela, o doce e apimentado da geléia de pimenta artesanal, a cremosidade do cream cheese e o creck do Doritos."
BUONI - 4 SABORES GRANDES,4 sabores - Crush (Grande),PIZZA 4 SB *G* - CRUSH,55128,14.99,"Marguerita, a crush perfeita de todo mundo."
BUONI - 4 SABORES GRANDES,4 sabores - Ícone (Grande),PIZZA 4 SB *G* - ICONE,55129,14.99,"Mussarela, a mais icônica, um clássico que ninguém tomba."
BUONI - 4 SABORES GRANDES,4 sabores - Aclamada (Grande),PIZZA 4 SB *G* - ACLAMADA,55130,14.99,"Brócolis, alho e mussarela. Esse sabor veio para ser aclamado em toda Fortaleza."
BUONI - 4 SABORES GRANDES,4 sabores - Braba (Grande),PIZZA 4 SB *G* - BRABA,55132,14.99,"Calabresas fininhas, cebola roxa e mussarela. Esse sabor é brabo demais! "
BUONI - 4 SABORES GRANDES,4 sabores - Gratiluz (Grande),PIZZA 4 SB *G* - GRATILUZ,55131,15.99,"Brócolis, tomate seco, milho e mussarela. Esse sabor good vibes vai fazer você sentir muita gratidão depois de provar."
BUONI - 4 SABORES GRANDES,4 sabores - Portuga (Grande),PIZZA 4 SB *G* - PORTUGA,55133,15.99,"Portuguesa com ovos, azeitonas, cebola roxa, presunto e mussarela. "
